customEvent:face_count | deviceCategory | eventCount
19425 | desktop | 1
1942618 | desktop | 1
1944535 | desktop | 1
1945247 | desktop | 1
1945479 | desktop | 1
1946406 | desktop | 1
194714 | desktop | 1
1947948 | desktop | 1
1948 | desktop | 1
1948690 | desktop | 1
1948769 | desktop | 1
1948935 | desktop | 1
1949066 | desktop | 1
19494 | desktop | 1
19496 | desktop | 1
1949948 | desktop | 1
1950135 | desktop | 1
1951216 | desktop | 1
1951610 | desktop | 1
1952487 | desktop | 1
1952724 | mobile | 1
1954657 | desktop | 1
1954881 | desktop | 1
1954969 | desktop | 1
1955319 | desktop | 1
1956136 | desktop | 1
1957052 | desktop | 1
195918 | desktop | 1
1959638 | desktop | 1
196 | desktop | 1
1960004 | desktop | 1
1960968 | desktop | 1
196157 | desktop | 1
196212 | desktop | 1
19626 | desktop | 1
1963328 | desktop | 1
1963696 | desktop | 1
1963853 | desktop | 1
196401 | desktop | 1
1964863 | desktop | 1
1967799 | desktop | 1
1967839 | desktop | 1
1970450 | desktop | 1
1970604 | desktop | 1
1970680 | desktop | 1
1971730 | desktop | 1
1971941 | desktop | 1
1972426 | desktop | 1
1972430 | desktop | 1
197303 | desktop | 1
1973216 | desktop | 1
1974179 | desktop | 1
1974184 | desktop | 1
19749 | desktop | 1
1975591 | desktop | 1
19757 | desktop | 1
1976954 | desktop | 1
197755 | desktop | 1
1980624 | desktop | 1
1982088 | desktop | 1
1982586 | desktop | 1
198343 | desktop | 1
1984026 | desktop | 1
1985478 | desktop | 1
19863 | desktop | 1
198634 | mobile | 1
1986653 | desktop | 1
1987110 | desktop | 1
1987134 | desktop | 1
1987404 | desktop | 1
1988001 | desktop | 1
1988785 | desktop | 1
1989758 | desktop | 1
1992140 | desktop | 1
1993980 | desktop | 1
1996750 | desktop | 1
1999178 | desktop | 1
1999218 | desktop | 1
1999536 | desktop | 1
1999560 | desktop | 1
1999959 | desktop | 1
1999966 | desktop | 1
1999996 | desktop | 1
200 | desktop | 1
200052 | desktop | 1
2002 | desktop | 1
200242 | desktop | 1
200406 | desktop | 1
2006 | desktop | 1
2006582 | desktop | 1
201049 | desktop | 1
20113 | desktop | 1
20124 | desktop | 1
2016346 | desktop | 1
2016541 | desktop | 1
2018 | desktop | 1
2021696 | desktop | 1
2024108 | desktop | 1
2024702 | desktop | 1
202657 | desktop | 1
2027430 | desktop | 1
202766 | desktop | 1
2027702 | desktop | 1
202781 | desktop | 1
202889 | desktop | 1
203342 | desktop | 1
204 | desktop | 1
2048 | desktop | 1
204996 | desktop | 1
2050661 | desktop | 1
205612 | desktop | 1
2059913 | desktop | 1
206110 | mobile | 1
2067948 | desktop | 1
2069 | desktop | 1
2069249 | desktop | 1
206956 | desktop | 1
2077231 | desktop | 1
2077845 | desktop | 1
20796 | desktop | 1
208072 | desktop | 1
208136 | desktop | 1
2084796 | desktop | 1
2091 | desktop | 1
209243 | desktop | 1
20943 | desktop | 1
210363 | desktop | 1
210488 | desktop | 1
21128 | desktop | 1
211298 | desktop | 1
211622 | desktop | 1
211873 | desktop | 1
21206 | desktop | 1
2126 | desktop | 1
212720 | desktop | 1
213636 | desktop | 1
214556 | desktop | 1
214942 | desktop | 1
215150 | desktop | 1
215552 | desktop | 1
216036 | desktop | 1
21611 | desktop | 1
21784 | desktop | 1
218410 | desktop | 1
21866 | desktop | 1
21875 | desktop | 1
218948 | desktop | 1
218959 | desktop | 1
219670 | desktop | 1
219790 | desktop | 1
22160 | desktop | 1
22180 | desktop | 1
22228 | desktop | 1
2246 | desktop | 1
225756 | desktop | 1
225865 | desktop | 1
227336 | desktop | 1
230417 | desktop | 1
230432 | desktop | 1
231305 | desktop | 1
232076 | desktop | 1
23309 | desktop | 1
233094 | desktop | 1
233733 | desktop | 1
234600 | desktop | 1
234826 | desktop | 1
235062 | desktop | 1
2356 | desktop | 1
23566 | desktop | 1
235974 | mobile | 1
23740 | desktop | 1
2378 | desktop | 1
238299 | desktop | 1
238467 | mobile | 1
238867 | desktop | 1
23952 | desktop | 1
23960 | desktop | 1
239619 | desktop | 1
239722 | mobile | 1
24 | desktop | 1
241080 | desktop | 1
24177 | desktop | 1
2418 | desktop | 1
241953 | mobile | 1
